"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20","2017-12-22"
"David Nwaba_CHI",NA,0,NA,0,27.25,NA,8.75,NA,17.75,NA,14.5,NA,NA,NA,14.5,NA
"Josh Jackson_PHO",NA,1.25,35.25,NA,NA,7.75,13.75,16.25,NA,16.75,2.75,NA,24,NA,26,NA
"Manu Ginobili_SA",NA,NA,10.25,NA,32.25,NA,20.5,NA,17.25,10.75,NA,NA,24.75,NA,21.25,NA
"Frank Mason III_SAC",24.75,21.5,NA,NA,12.25,18.75,NA,NA,26,20.5,NA,15.5,NA,24.5,12.75,NA
"Marvin Williams_CHA",NA,NA,15.25,NA,29.5,NA,17.25,NA,14.25,NA,10.25,NA,15.5,NA,14,35
"Maxi Kleber_DAL",NA,NA,27.25,NA,NA,14,11.75,NA,32.75,10.5,NA,10.75,32.25,NA,8.5,1.25
"Cory Joseph_IND",NA,NA,3.5,NA,18.5,NA,22.25,NA,21.25,NA,8.25,NA,NA,NA,18.25,NA
"Jamal Crawford_MIN",NA,12.75,17.25,NA,17.75,NA,8.25,NA,19.25,12,NA,8.5,12,NA,32.75,NA
"Mario Chalmers_MEM",NA,NA,0,NA,10.5,11.5,10,NA,22.25,NA,14.25,NA,11,NA,26,NA
"Chandler Parsons_MEM",NA,NA,0,NA,14,0,0,NA,19.25,NA,20.75,NA,0,NA,0,NA
"Andrew Harrison_MEM",NA,NA,24,NA,15.5,21.25,17,NA,18.25,NA,35.75,NA,9,NA,13.5,NA
"Frank Kaminsky_CHA",NA,NA,30.75,NA,10.25,NA,29.25,NA,1.25,NA,8,NA,12,NA,11.25,27.25
"Justise Winslow_MIA",NA,12.5,16.75,NA,25.25,NA,NA,NA,14,NA,2.5,NA,0,NA,0,0
"Wayne Ellington_MIA",NA,11,8.75,NA,26.5,NA,NA,NA,10.25,NA,38,NA,15.75,NA,18.5,35.75
"Jordan Mickey_MIA",NA,0,4.5,NA,0,NA,NA,NA,0,NA,0,NA,27,NA,19.5,10.75
"Malcolm Delaney_ATL",NA,NA,NA,0,NA,0,7,NA,0,3.5,NA,13.75,NA,NA,15,35
"Isaiah Taylor_ATL",NA,NA,NA,0.75,NA,20.5,12.5,NA,9.75,17.5,NA,8.75,NA,NA,14.5,20.75
"Jonas Jerebko_UTA",NA,31.5,NA,21.5,20.5,NA,15.25,13,NA,NA,13.75,NA,13.75,NA,13,NA
"Ekpe Udoh_UTA",NA,10,NA,12,12.5,NA,8,0,NA,NA,0,NA,40.25,NA,12.5,NA
"Joe Johnson_UTA",NA,0,NA,0,0,NA,0,0,NA,NA,0,NA,13.75,NA,6.25,NA
"Joe Harris_BKN",NA,NA,19.5,NA,NA,21.75,17.5,NA,NA,12,NA,11,NA,NA,22,23
"Josh Hart_LAL",10.75,NA,9.25,NA,NA,23.25,NA,NA,NA,3.75,NA,32,NA,NA,27.5,8.25
"Troy Daniels_PHO",NA,13.25,3,NA,NA,5,6.75,18,NA,16.5,41.25,NA,19.25,NA,13.75,NA
"DJ Augustin_ORL",NA,NA,19.75,NA,19,NA,23.75,NA,12.75,NA,8.5,NA,NA,NA,21.5,6.75
"Dillon Brooks_MEM",NA,NA,13,NA,7.25,17.25,14,NA,8.75,NA,10.75,NA,18.75,NA,12.5,NA
"Cody Zeller_CHA",NA,NA,12,NA,26.75,NA,14.75,NA,21,NA,0,NA,0,NA,0,0
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA,17.75,12,NA,26.5,4.5,9.25,NA,NA,NA,0,0
"Torrey Craig_DEN",NA,0,NA,0,NA,0,0,NA,0,0,0,NA,NA,NA,20,3.75
"Marco Belinelli_ATL",NA,NA,NA,32,NA,18.5,13.5,NA,21.75,12,NA,5.5,NA,NA,18.75,40.75
"Jerian Grant_CHI",NA,14.75,NA,26.5,31,NA,6,NA,9.5,NA,12.5,NA,NA,NA,25.5,NA
"Aron Baynes_BOS",NA,NA,NA,10.5,NA,11.75,20,NA,10.25,NA,26.5,NA,20,NA,8.25,NA
"Jerami Grant_OKC",NA,NA,19.25,NA,20.75,NA,NA,8.25,NA,NA,22.5,NA,17.5,NA,18.25,9.5
"Glenn Robinson III_IND",NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA
"Ed Davis_POR",NA,NA,NA,3.25,NA,11,NA,1.25,NA,NA,18.25,NA,16.75,NA,23.75,19
"Tyler Ulis_PHO",NA,32.5,23,NA,NA,10,32.75,11.75,NA,19.75,34.25,NA,6.75,NA,6,NA
"Jamil Wilson_LAC",0,NA,NA,7.75,NA,13,NA,NA,11.25,NA,14.75,NA,17.5,NA,21.5,6
"Patrick McCaw_GS",40.25,NA,0,NA,18.25,NA,7,NA,0,NA,NA,7.5,NA,NA,24.5,10.75
