"Karl-Anthony Towns_MIN","LaMarcus Aldridge_SA","Blake Griffin_LAC","Kawhi Leonard_SA","Jimmy Butler_MIN","Hassan Whiteside_MIA","Lou Williams_LAC","DeAndre Jordan_LAC","Andrew Wiggins_MIN","Jeff Teague_MIN","Taj Gibson_MIN","Goran Dragic_MIA","Austin Rivers_LAC","Pau Gasol_SA","Dion Waiters_MIA","Danilo Gallinari_LAC","James Johnson_MIA","Rudy Gay_SA","Kyle Anderson_SA","Kelly Olynyk_MIA","Danny Green_SA","Josh Richardson_MIA","Wesley Johnson_LAC","Patty Mills_SA","Bam Adebayo_MIA","Tyler Johnson_MIA","Justise Winslow_MIA","Gorgui Dieng_MIN","Milos Teodosic_LAC","Montrezl Harrell_LAC","Tyus Jones_MIN","Manu Ginobili_SA","Tony Parker_SA","Wayne Ellington_MIA","Jamal Crawford_MIN","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Bryn Forbes_SA","Dejounte Murray_SA","Sam Dekker_LAC","Brandon Paul_SA","Jamil Wilson_LAC","Sindarius Thornwell_LAC","Aaron Brooks_MIN","Patrick Beverley_LAC","Cole Aldrich_MIN","CJ Williams_LAC","Willie Reed_LAC","Anthony Brown_MIN","Marcus Georges-Hunt_MIN","Brice Johnson_LAC","Jawun Evans_LAC","Justin Patton_MIN","Udonis Haslem_MIA","Rodney McGruder_MIA","Okaro White_MIA","Davis Bertans_SA","Darrun Hilliard_SA","AJ Hammons_MIA","Matt Williams_MIA","Matt Costello_SA","Joffrey Lauvergne_SA","Derrick Walton_MIA","Jordan Mickey_MIA","Derrick White_SA"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,156.791666666667,0,0,0,0,0,10.0416666666667,0,0,23.3125,0,20.4583333333333,0,0,-74.1979166666667,0,-37.09375,0,0,58.7708333333333,-59.21875,-39.6666666666667,0,0,0,0,0,0,-33.6979166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3541666666667,-8.8125,0
0,0,0,0,0,-164.1875,0,0,0,0,0,-19.8125,0,0,-23.25,0,-36.53125,0,0,91.0625,0,17.34375,0,0,-59.21875,81.1875,21.78125,0,0,0,0,0,0,-5.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.03125,19.6875,0
0,0,0,0,0,-100.583333333333,0,0,0,0,0,1.41666666666667,0,0,-15.9375,0,-0.354166666666667,0,0,36.3020833333333,0,41.96875,0,0,-39.6666666666667,21.78125,42.1458333333333,0,0,0,0,0,0,56.4895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.20833333333333,-3.1875,0
-98.7864583333333,0,0,0,-95.1145833333333,0,0,0,129.510416666667,-69.40625,28.8958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.682291666667,0,0,110.697916666667,0,0,0,15.8125,0,-3.109375,0,0,0,0,0,0,30.9791666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-324.53125,0,0,0,0,100.791666666667,0,0,0,0,-67.09375,0,0,0,0,0,0,0,0,0,63.0520833333333,0,0,0,0,0,0,125.270833333333,0,0,0,0,0,0,0,0,0,-64.5104166666667,0,66.0208333333333,10.46875,0,0,0,-5.97916666666667,43.84375,0,0,20.53125,24.4895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0
-17.4895833333333,0,0,0,-105.5625,0,0,0,101.645833333333,-241.354166666667,104.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.697916666667,0,0,300.895833333333,0,0,0,16.7916666666667,0,2.65625,0,0,0,0,0,0,63.1666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-114.25,0,0,0,0,0,0,0,0,0,0,0,31.6875,0,0,0,35.3125,-69.5625,0,-10.15625,0,0,0,0,0,0,0,0,0,0,121.1875,-31.34375,0,0,0,0,31.53125,2.625,0,10.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.625,0,0,0,0,26.71875,0,0,0
0,32.0625,0,0,0,0,0,0,0,0,0,0,0,-15.4375,0,0,0,-14.84375,26.4375,0,-3.125,0,0,0,0,0,0,0,0,0,0,-31.34375,8.6875,0,0,0,0,-3.5625,-0.90625,0,-3.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.09375,0,0,0,0,-5.9375,0,0,0
0,0,0,0,0,-78.3958333333333,0,0,0,0,0,12.2291666666667,0,0,-13.8125,0,17.8020833333333,0,0,12.3020833333333,0,58.4375,0,0,-33.6979166666667,-5.96875,56.4895833333333,0,0,0,0,0,0,93.3958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.17708333333333,-15,0
7.52083333333333,0,0,0,-21.7916666666667,0,0,0,43.6666666666667,9.83333333333333,-13.0416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8125,0,0,16.7916666666667,0,0,0,19.75,0,-0.3125,0,0,0,0,0,0,6.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.296875,0,0,0,0.78125,0,0,0,-2.03125,-2.90625,1.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.109375,0,0,2.65625,0,0,0,-0.3125,0,0.140625,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-9.85416666666667,0,0,0,0,0,0,0,0,0,0,0,-49.0208333333333,0,0,0,-35.96875,48.6875,0,-48.125,0,0,0,0,0,0,0,0,0,0,31.53125,-3.5625,0,0,0,0,44.5208333333333,-1.11458333333333,0,0.854166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63.5520833333333,0,0,0,0,14.6458333333333,0,0,0
0,-3.45833333333333,0,0,0,0,0,0,0,0,0,0,0,3.52083333333333,0,0,0,3,-4.8125,0,2.03125,0,0,0,0,0,0,0,0,0,0,2.625,-0.90625,0,0,0,0,-1.11458333333333,0.145833333333333,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27083333333333,0,0,0,0,0.197916666666667,0,0,0
0,0,171.6875,0,0,0,0,-75.0520833333333,0,0,0,0,74.84375,0,0,0,0,0,0,0,0,0,-22.1979166666667,0,0,0,0,0,0,-64.5104166666667,0,0,0,0,0,0,0,0,0,55.2708333333333,0,-47.2604166666667,-26.09375,0,0,0,-0.947916666666667,10.28125,0,0,-26.71875,0.552083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,5.95833333333333,0,0,0,5.625,-9.875,0,1.5625,0,0,0,0,0,0,0,0,0,0,10.875,-3.0625,0,0,0,0,0.854166666666667,0.333333333333333,0,1.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83333333333333,0,0,0,0,1.97916666666667,0,0,0
0,0,-173.78125,0,0,0,0,67.0416666666667,0,0,0,0,-59.59375,0,0,0,0,0,0,0,0,0,27.0520833333333,0,0,0,0,0,0,66.0208333333333,0,0,0,0,0,0,0,0,0,-47.2604166666667,0,42.7708333333333,17.96875,0,0,0,-0.729166666666667,3.34375,0,0,20.53125,4.98958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-31.40625,0,0,0,0,30.15625,0,0,0,0,-43.4375,0,0,0,0,0,0,0,0,0,-4.375,0,0,0,0,0,0,10.46875,0,0,0,0,0,0,0,0,0,-26.09375,0,17.96875,20.3125,0,0,0,3.28125,-27.1875,0,0,16.875,-10.3125,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.52083333333333,0,0,0,-26.8958333333333,0,0,0,30.7916666666667,-46.5,18.7708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9791666666667,0,0,63.1666666666667,0,0,0,6.625,0,0.3125,0,0,0,0,0,0,14.0416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14.65625,0,0,0,0,-0.583333333333333,0,0,0,0,-4.15625,0,0,0,0,0,0,0,0,0,-4.88541666666667,0,0,0,0,0,0,-5.97916666666667,0,0,0,0,0,0,0,0,0,-0.947916666666667,0,-0.729166666666667,3.28125,0,0,0,1.02083333333333,-8.09375,0,0,1.96875,-3.57291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-106.78125,0,0,0,0,0.78125,0,0,0,0,36.5625,0,0,0,0,0,0,0,0,0,37.375,0,0,0,0,0,0,43.84375,0,0,0,0,0,0,0,0,0,10.28125,0,3.34375,-27.1875,0,0,0,-8.09375,64.3125,0,0,-16.875,28.1875,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
