"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02"
"Mangok Mathiang_CHA",NA,NA,0,NA,0,NA
"Jamel Artis_ORL",NA,NA,0,NA,0,NA
"Marcus Paige_CHA",NA,NA,0,NA,0,NA
"Adreian Payne_ORL",NA,NA,0,NA,0,NA
"Justin Anderson_PHI",NA,NA,0,0,NA,0
"Jahlil Okafor_PHI",NA,NA,0,0,NA,0
"Nik Stauskas_PHI",NA,NA,0,0,NA,3.5
"Furkan Korkmaz_PHI",NA,NA,0,0,NA,0
"Derrick Jones_PHO",NA,0,0,NA,NA,0
"Alec Peters_PHO",NA,0,0,NA,NA,0
"Jacob Pullen_PHI",NA,NA,0,0,NA,0
"James Michael McAdoo_PHI",NA,NA,0,0,NA,0
"Davon Reed_PHO",NA,0,0,NA,NA,0
"Brandon Knight_PHO",NA,0,0,NA,NA,0
"JaVale McGee_GS",10,NA,0,NA,0,NA
"Kevon Looney_GS",1,NA,11,NA,2,NA
"Quinn Cook_GS",0,NA,0,NA,0,NA
"Omer Asik_NO",NA,NA,0,NA,0,11.25
"Jalen Jones_NO",NA,NA,0,NA,0,0
"Charles Cooke_NO",NA,NA,0,NA,0,0
"Damian Jones_GS",0,NA,0,NA,0,NA
"Alexis Ajinca_NO",NA,NA,0,NA,0,0
"Chris Boucher_GS",0,NA,0,NA,0,NA
"Frank Jackson_NO",NA,NA,0,NA,0,0
"Solomon Hill_NO",NA,NA,0,NA,0,0
"Eric Moreland_DET",NA,NA,19.5,NA,0.75,2.25
"Jon Leuer_DET",NA,NA,0,NA,0,0
"Joffrey Lauvergne_SA",NA,NA,0,NA,4.75,NA
"Henry Ellenson_DET",NA,NA,8,NA,0,0
"Reggie Bullock_DET",NA,NA,0,NA,0,0
"Davis Bertans_SA",NA,NA,0,NA,1.5,NA
"Boban Marjanovic_DET",NA,NA,4.75,NA,7.25,7.5
"Derrick White_SA",NA,NA,0,NA,0,NA
"Matt Costello_SA",NA,NA,0,NA,0,NA
"Darrun Hilliard_SA",NA,NA,0,NA,0,NA
"Luis Montero_DET",NA,NA,0,NA,0,0
"Dwight Buycks_DET",NA,NA,0,NA,0,0
