Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,968728463,roel2112 (11/12),0,315.25,PG Kyrie Irving C Nikola Jokic SF Khris Middleton F Kyle Kuzma UTIL Austin Rivers G Tyler Johnson SG J.J. Barea PF Gorgui Dieng,,Bradley Beal,SG,6.92%,26.25
38,968517442,ljay79 (4/6),0,315,SG Tyreke Evans UTIL Nikola Jokic PF LaMarcus Aldridge C Dwight Howard PG Donovan Mitchell G Mario Hezonja F Jordan Bell SF Wayne Ellington,,Rondae Hollis-Jefferson,SF,6.58%,35.5
39,968705421,Green_Blood (3/3),0,314.75,UTIL Russell Westbrook C Karl-Anthony Towns SG Spencer Dinwiddie G Austin Rivers PG J.J. Barea SF Wesley Matthews PF Jordan Bell F Gorgui Dieng,,Nikola Vucevic,C,6.28%,2
40,968714879,btalley,0,314.5,SG Victor Oladipo PG Kyrie Irving C Myles Turner F Jayson Tatum PF Domantas Sabonis UTIL Joe Ingles G J.J. Barea SF Bojan Bogdanovic,,Carmelo Anthony,PF,6.11%,29.5
41,968634243,BkiZZle79 (1/5),0,314,C DeMarcus Cousins PG Tyreke Evans SG Lou Williams G Austin Rivers PF Julius Randle UTIL Shabazz Napier SF Bojan Bogdanovic F Michael Kidd-Gilchrist,,Kris Dunn,PG,6.10%,14
42,968741550,Shaffer3939,0,313.5,PG Russell Westbrook SG Victor Oladipo PF Jayson Tatum C Domantas Sabonis G Austin Rivers SF Kelly Oubre Jr. UTIL Allen Crabbe F Frank Kaminsky,,LaMarcus Aldridge,F,5.96%,46
43,968700155,iceberger4,0,313,C DeAndre Jordan SF Paul George UTIL Lonzo Ball PG Kemba Walker G Spencer Dinwiddie SG Austin Rivers PF Lauri Markkanen F DeMarre Carroll,,Harrison Barnes,SF,5.85%,31.5
43,968733535,bozaxbooks (4/5),0,313,SG Tyreke Evans C LaMarcus Aldridge SF Khris Middleton PG Lonzo Ball UTIL Kyle Kuzma G Austin Rivers PF Marvin Williams F Wayne Ellington,,Greg Monroe,F,5.81%,0
45,968352127,Frozen,0,312.75,PG Tyreke Evans PF LaMarcus Aldridge SF Khris Middleton F Kyle Kuzma C Myles Turner SG Eric Bledsoe G Bojan Bogdanovic UTIL Brandan Wright,,Alex Len,PF,5.75%,14
45,968753434,chrismar123 (1/2),0,312.75,SG Jimmy Butler PG Tyreke Evans SF Khris Middleton F Kyle Kuzma PF Julius Randle UTIL Shabazz Napier G Mario Hezonja C Frank Kaminsky,,Julius Randle,F,5.47%,28.25
45,968769774,chrismar123 (2/2),0,312.75,SG Jimmy Butler PG Tyreke Evans SF Khris Middleton F Kyle Kuzma PF Julius Randle UTIL Shabazz Napier G Mario Hezonja C Frank Kaminsky,,Andrew Wiggins,SG,5.44%,23.5
48,968359979,tlholder86 (1/2),0,312.25,F Khris Middleton UTIL Dennis Schroder C Myles Turner PG Eric Bledsoe PF Taj Gibson SF Will Barton G Austin Rivers SG Tyler Johnson,,Spencer Dinwiddie,PG,5.40%,41.25
48,968370891,tlholder86 (2/2),0,312.25,F Khris Middleton UTIL Dennis Schroder C Myles Turner PG Eric Bledsoe PF Taj Gibson SF Will Barton G Austin Rivers SG Tyler Johnson,,Evan Turner,SF,5.26%,12.5
48,968440641,stepponcurrie74 (2/2),0,312.25,PG John Wall SG Khris Middleton C Myles Turner SF Otto Porter Jr. PF Jayson Tatum UTIL Darren Collison G Austin Rivers F Buddy Hield,,Michael Kidd-Gilchrist,F,5.21%,13.25
51,968599570,docholliday17 (2/2),0,312,PG Victor Oladipo SG Tyreke Evans F Draymond Green G Austin Rivers C Willie Cauley-Stein UTIL Lauri Markkanen SF Wesley Matthews PF Wilson Chandler,,Anthony Davis,UTIL,4.79%,39
52,967768284,nolefan31 (15/20),0,311.75,PG John Wall G Tyreke Evans SF Paul George C Myles Turner PF Rondae Hollis-Jefferson F Nicolas Batum SG George Hill UTIL Frank Kaminsky,,Brandon Ingram,SF,4.58%,0
52,968623943,mikes197131 (4/4),0,311.75,PG Tyreke Evans SG Jrue Holiday PF Draymond Green C Steven Adams G Elfrid Payton SF Nicolas Batum UTIL Julius Randle F Ersan Ilyasova,,Bam Adebayo,PF,4.54%,25.25
54,968280568,makehm (3/3),0,311,UTIL Karl-Anthony Towns PG Tyreke Evans C DeAndre Jordan PF Taj Gibson SG Austin Rivers G Shabazz Napier F DeMarre Carroll SF Josh Jackson,,Jayson Tatum,SF,4.51%,31.75
55,968353307,Sdotbrown24 (3/20),0,310.25,SG Victor Oladipo G Donovan Mitchell UTIL Kyle Kuzma C Myles Turner PG Spencer Dinwiddie PF Rondae Hollis-Jefferson SF DeMarre Carroll F Brandan Wright,,John Collins,F,4.40%,21
56,968108143,nolefan31 (18/20),0,310,SG Tyreke Evans PF LaMarcus Aldridge C Dwight Howard UTIL Myles Turner SF Josh Richardson PG Jeff Teague F Bam Adebayo G Andrew Harrison,,Marcus Smart,SF,4.14%,22.25
57,967635336,haucks4him (1/3),0,309.5,G Tyreke Evans SG CJ McCollum SF Khris Middleton UTIL Dwight Howard PG Eric Bledsoe F Pau Gasol C Bam Adebayo PF Brandan Wright,,DeMarre Carroll,PF,4.04%,45.25
57,968063901,momof3yay4me,0,309.5,PG Kyrie Irving SG Klay Thompson SF T.J. Warren G Elfrid Payton UTIL Darren Collison F John Collins PF Domantas Sabonis C Willie Cauley-Stein,,Isaiah Canaan,G,3.97%,31
57,968706982,buffalojmd (2/2),0,309.5,PG Victor Oladipo SG Tyreke Evans UTIL Lou Williams SF Jonathon Simmons PF Kelly Olynyk G J.J. Barea C Jordan Bell F Bam Adebayo,,T.J. Warren,PF,3.93%,43.25
57,968722999,LBEZZY32,0,309.5,G Kyrie Irving F Paul George C Myles Turner PG Spencer Dinwiddie PF Zach Randolph UTIL Rajon Rondo SF DeMarre Carroll SG Buddy Hield,,Giannis Antetokounmpo,UTIL,3.92%,0
61,967572747,middled20005,0,309.25,UTIL John Wall PG Tyreke Evans C Nikola Jokic G Eric Bledsoe SG Will Barton F DeMarre Carroll PF Wilson Chandler SF Bojan Bogdanovic,,J.J. Barea,UTIL,3.92%,43
61,968476094,DutchieZing3,0,309.25,C Karl-Anthony Towns G Tyreke Evans F Khris Middleton SG Jamal Murray UTIL Austin Rivers PG Shabazz Napier PF Mason Plumlee SF Wayne Ellington,,Caris LeVert,G,3.91%,22
61,968734685,EvnJsJokesGoOvrUrHed,0,309.25,PG Russell Westbrook C Nikola Jokic SF Khris Middleton SG Eric Bledsoe UTIL Austin Rivers G J.J. Barea PF Bam Adebayo F Brandan Wright,,Nicolas Batum,F,3.80%,32.75
64,967624154,nobadmojo (2/2),0,308.5,PG Victor Oladipo SF Khris Middleton UTIL Jonathon Simmons G Elfrid Payton PF Domantas Sabonis SG Austin Rivers F Caris LeVert C Robin Lopez,,Will Barton,SG,3.66%,32.75
64,968724874,TooMuchChad,0,308.5,C Anthony Davis F Nikola Mirotic UTIL Harrison Barnes G Elfrid Payton PG Jamal Murray SG Austin Rivers SF DeMarre Carroll PF Trey Lyles,,Lance Stephenson,SG,3.66%,17.5
66,968347219,kyboy69,0,308.25,PG John Wall G Lonzo Ball SF Kyle Kuzma C Myles Turner SG Eric Bledsoe UTIL Austin Rivers F Willie Cauley-Stein PF Bam Adebayo,,Denzel Valentine,F,3.65%,14.25
66,968586013,jgAllDay (17/20),0,308.25,PG Tyreke Evans F Khris Middleton UTIL Kyle Kuzma C Myles Turner SG Eric Bledsoe PF Taj Gibson G Shabazz Napier SF Wayne Ellington,,Marvin Williams,PF,3.64%,10.75
66,968761660,JN123easy (1/2),0,308.25,PG Tyreke Evans SG CJ McCollum SF Khris Middleton PF Kyle Kuzma UTIL Eric Bledsoe G Austin Rivers C Jordan Bell F Wayne Ellington,,Otto Porter Jr.,PF,3.63%,29.5
66,968761679,JN123easy (2/2),0,308.25,PG Tyreke Evans SG CJ McCollum SF Khris Middleton PF Kyle Kuzma UTIL Eric Bledsoe G Austin Rivers C Jordan Bell F Wayne Ellington,,Darren Collison,G,3.59%,30
70,968575576,jgAllDay (16/20),0,308,SG Tyreke Evans F Khris Middleton PF Harrison Barnes C Myles Turner PG Eric Bledsoe UTIL Andrew Wiggins G Shabazz Napier SF Wayne Ellington,,Bojan Bogdanovic,G,3.54%,30
70,968752988,mclev06 (1/3),0,308,UTIL Russell Westbrook G Tyreke Evans C Nikola Jokic SF Carmelo Anthony PG Shabazz Napier PF Trey Lyles F Bojan Bogdanovic SG Pat Connaughton,,Paul George,SF,3.45%,50.75
72,968701058,frisbeediver,0,307.75,SG Victor Oladipo G Tyreke Evans C LaMarcus Aldridge SF Khris Middleton PG Shabazz Napier F Mike Scott UTIL George Hill PF Brandan Wright,,Kelly Olynyk,C,3.39%,27
73,968451755,sears (1/2),0,307.25,PG Victor Oladipo C Myles Turner SG Spencer Dinwiddie SF Rondae Hollis-Jefferson PF Thaddeus Young G Darren Collison UTIL Austin Rivers F Bojan Bogdanovic,,Allen Crabbe,UTIL,3.24%,23.75
73,968631503,cragar8 (2/2),0,307.25,G Victor Oladipo PG Tyreke Evans C Draymond Green UTIL Kentavious Caldwell-Pope F Julius Randle SG Shabazz Napier SF Kelly Oubre Jr. PF Trey Lyles,,Jusuf Nurkic,C,3.23%,15.25
75,967940046,kevinjrjames (3/10),0,307,PF DeMarcus Cousins SF Paul George PG Lonzo Ball SG Austin Rivers F Lauri Markkanen G Shabazz Napier UTIL Jordan Clarkson C Dirk Nowitzki,,Dirk Nowitzki,C,3.22%,34.5
75,968674808,JoelisChubs11 (2/2),0,307,G Jimmy Butler UTIL Tyreke Evans PF LaMarcus Aldridge SF Khris Middleton PG Eric Bledsoe SG Shabazz Napier F Tony Snell C Brandan Wright,,Al-Farouq Aminu,SF,3.17%,22.5
77,968345014,ChayBirds,0,306.75,PG Tyreke Evans PF LaMarcus Aldridge C Draymond Green SF Andrew Wiggins F Otto Porter Jr. G Elfrid Payton UTIL Bobby Portis SG Wesley Matthews,,Mario Hezonja,SG,3.13%,30.5
77,968417754,alacoude,0,306.75,PG John Wall SG Tyreke Evans SF Khris Middleton F Paul George UTIL Eric Bledsoe G Mario Hezonja C John Henson PF Jarell Martin,,Al Horford,UTIL,3.10%,29.5
77,968595708,bimboboy (1/4),0,306.75,PG Kyrie Irving SF Khris Middleton PF Al Horford G Spencer Dinwiddie UTIL Elfrid Payton F Jaylen Brown C John Henson SG Allen Crabbe,,Elfrid Payton,G,2.99%,61.25
80,968613188,Arnie2013 (10/11),0,306.5,PG Russell Westbrook SG Victor Oladipo C Myles Turner G Austin Rivers SF Nicolas Batum F Jordan Bell PF Frank Kaminsky UTIL Marco Belinelli,,Wesley Matthews,G,2.95%,18.5
