"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"Bam Adebayo_MIA",NA,31.5,18.75,NA,17.75,NA,NA,NA
"David Nwaba_CHI",NA,0,NA,0,27.25,NA,8.75,NA
"George Hill_SAC",21.5,7.5,NA,NA,22.75,8.5,NA,NA
"Dillon Brooks_MEM",NA,NA,13,NA,7.25,17.25,14,NA
"Malik Monk_CHA",NA,NA,21,NA,11.25,NA,0,NA
"Frank Kaminsky_CHA",NA,NA,30.75,NA,10.25,NA,29.25,NA
"Tyler Johnson_MIA",NA,6.25,24.25,NA,16,NA,NA,NA
"Justise Winslow_MIA",NA,12.5,16.75,NA,25.25,NA,NA,NA
"Dwight Powell_DAL",NA,NA,30.75,NA,NA,22,26.25,NA
"Glenn Robinson III_IND",NA,NA,0,NA,0,NA,0,NA
"Tristan Thompson_CLE",NA,0,NA,0,NA,0,0,NA
"Bogdan Bogdanovic_SAC",18,11.5,NA,NA,29.75,22,NA,NA
"Luke Babbitt_ATL",NA,NA,NA,12,NA,26,8.5,NA
"DeAndre' Bembry_ATL",NA,NA,NA,0,NA,0,0,NA
"DJ Augustin_ORL",NA,NA,19.75,NA,19,NA,23.75,NA
"Chandler Parsons_MEM",NA,NA,0,NA,14,0,0,NA
"James Ennis III_MEM",NA,NA,0,NA,0,0,0,NA
"Milos Teodosic_LAC",0,NA,NA,0,NA,0,NA,NA
"Montrezl Harrell_LAC",0,NA,NA,19.75,NA,19,NA,NA
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA
"Tony Snell_MIL",NA,19,NA,8,NA,10.5,12.5,NA
"Emmanuel Mudiay_DEN",NA,15.75,NA,18,NA,17.75,12,NA
"Devin Harris_DAL",NA,NA,21.5,NA,NA,25.75,25.25,NA
"Yogi Ferrell_DAL",NA,NA,17.75,NA,NA,15.5,22,NA
"Derrick Rose_CLE",NA,0,NA,0,NA,0,0,NA
"Frank Mason III_SAC",24.75,21.5,NA,NA,12.25,18.75,NA,NA
"Jae Crowder_CLE",NA,1.5,NA,23,NA,7.5,18.5,NA
