"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16","2017-12-19","2017-12-20","2017-12-22","2017-12-23"
"Jerami Grant_OKC",NA,NA,19.25,NA,20.75,NA,NA,8.25,NA,NA,22.5,NA,17.5,NA,18.25,9.5,10
"Patrick McCaw_GS",40.25,NA,0,NA,18.25,NA,7,NA,0,NA,NA,7.5,NA,NA,24.5,10.75,13
"Shaun Livingston_GS",14.75,NA,7.25,NA,5,NA,0,NA,7.25,NA,NA,9.75,NA,NA,0,0,0
"Kyle Korver_CLE",NA,16.5,NA,13.75,NA,24,14,NA,23.25,23.75,NA,15.75,18,7.5,NA,NA,NA
"Corey Brewer_LAL",13.5,NA,3.5,NA,NA,0,NA,NA,NA,0.75,NA,7.5,NA,NA,35.75,0,2.25
"Guillermo Hernangomez_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"David West_GS",22.25,NA,0,NA,14.75,NA,21,NA,20.25,NA,NA,22.75,NA,NA,19.5,21.5,7.5
"Jae Crowder_CLE",NA,1.5,NA,23,NA,7.5,18.5,NA,8,17.75,NA,14,17.25,22,NA,NA,NA
"Tristan Thompson_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,10.5,19.75,NA,NA,NA
"Ian Mahinmi_WAS",NA,17.5,15.5,NA,14.25,NA,4.75,12,NA,0,0,NA,NA,14.25,NA,4.5,17
"Daniel Theis_BOS",NA,NA,NA,21.5,NA,12,8.75,NA,28.25,NA,15.25,NA,14.75,NA,12,NA,37.25
"Tyus Jones_MIN",NA,30.5,38.5,NA,2.5,NA,8,NA,7,13.25,NA,8.25,18.5,NA,9.25,NA,11
"Gorgui Dieng_MIN",NA,10.25,41.5,NA,15.75,NA,23.25,NA,15,14.75,NA,27,8,NA,21.75,NA,30.25
"Damyean Dotson_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Andre Roberson_OKC",NA,NA,24.75,NA,19.5,NA,NA,19,NA,NA,0,NA,16.25,NA,16,18.25,5.25
"Kevon Looney_GS",1,NA,11,NA,2,NA,1.25,NA,5.5,NA,NA,2.25,NA,NA,9.75,3.25,3.5
"Iman Shumpert_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA
"Derrick Rose_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA
"Shane Larkin_BOS",NA,NA,NA,0,NA,0,0,NA,22,NA,27.75,NA,3.5,NA,0.75,NA,0
"Nemanja Bjelica_MIN",NA,0,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,0
"Shabazz Muhammad_MIN",NA,0.75,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,NA,0
"Lance Thomas_NY",NA,NA,0,NA,NA,NA,0,NA,0,0,NA,0,0,NA,NA,0,NA
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25,17.5,NA,8.5,14.5,NA,NA,5.75,NA,NA,NA,6.75,NA,NA,NA
