"Russell Westbrook_OKC","Damian Lillard_POR","Kyle Lowry_TOR","John Wall_WAS","DeMar DeRozan_TOR","Paul George_OKC","Devin Booker_PHO","Bradley Beal_WAS","Rudy Gobert_UTA","Jusuf Nurkic_POR","Donovan Mitchell_UTA","CJ McCollum_POR","Otto Porter_WAS","Derrick Favors_UTA","Carmelo Anthony_OKC","TJ Warren_PHO","Steven Adams_OKC","Rodney Hood_UTA","Ricky Rubio_UTA","Marcin Gortat_WAS","Serge Ibaka_TOR","Kelly Oubre_WAS","Joe Ingles_UTA","Jonas Valanciunas_TOR","Markieff Morris_WAS","Alec Burks_UTA","Greg Monroe_PHO","Alex Len_PHO","Tyson Chandler_PHO","Al-Farouq Aminu_POR","Mike James_PHO","Tomas Satoransky_WAS","Noah Vonleh_POR","Josh Jackson_PHO","Norman Powell_TOR","Tim Frazier_WAS","Evan Turner_POR","Pascal Siakam_TOR","Tyler Ulis_PHO","Marquese Chriss_PHO","Jonas Jerebko_UTA","CJ Miles_TOR","Jerami Grant_OKC","Thabo Sefolosha_UTA","Shabazz Napier_POR","Pat Connaughton_POR","Jared Dudley_PHO","Joe Johnson_UTA","Andre Roberson_OKC","Delon Wright_TOR","OG Anunoby_TOR","Caleb Swanigan_POR","Jodie Meeks_WAS","Maurice Harkless_POR","Jakob Poeltl_TOR","Fred VanVleet_TOR","Lucas Nogueira_TOR","Dragan Bender_PHO","Jason Smith_WAS","Ian Mahinmi_WAS","Ed Davis_POR","Raymond Felton_OKC","Alex Abrines_OKC","Dakari Johnson_OKC","Troy Daniels_PHO","Meyers Leonard_POR","Raul Neto_UTA","Alan Williams_PHO","Mike Scott_WAS","Patrick Patterson_OKC","Sheldon Mac_WAS","Mike Young_WAS","Devin Robinson_WAS","Chris McCullough_WAS","CJ Wilcox_POR","Jake Layman_POR","Wade Baldwin IV_POR","Zach Collins_POR","Dante Exum_UTA","Tony Bradley_UTA","Ekpe Udoh_UTA","Nate Wolters_UTA","Eric Griffin_UTA","Royce O'Neale_UTA","Kyle Singler_OKC","Nick Collison_OKC","Josh Huestis_OKC","Terrance Ferguson_OKC","PJ Dozier_OKC","Daniel Hamilton_OKC","Malcolm Miller_TOR","Alfonzo McKinnie_TOR","Lorenzo Brown_TOR","Bruno Caboclo_TOR","Alec Peters_PHO","Brandon Knight_PHO","Derrick Jones_PHO","Davon Reed_PHO"
0,0,-84,0,4.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,15.75,0,0,0,0,0,0,0,0,0,0,23.625,0,0,-14.875,0,0,0,21.875,0,0,0,0,0,0,0,0,14,0,0,0,75.25,13.125,-23.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,92.4010416666667,0,0,0,0,-25.8697916666667,0,0,0,0,0,0,-77.7291666666667,0,151.473958333333,0,0,-88.6979166666667,0,0,0,0,0,0,49.296875,0,0,0,-14.3489583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.223958333333,0,0,0,0,0,-20.71875,54.6666666666667,0,0,0,0,0,0,0,0,10.7916666666667,0,0,0,0,18.609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-40.625,0,81.8854166666667,0,0,18.1666666666667,0,0,0,0,-22.109375,0,0,0,43.890625,0,0,19.0572916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.546875,0,0,5.34375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21875,0,0,-61.7760416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-54,0,2.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.75,0,0,10.125,0,0,0,0,0,0,0,0,0,0,15.1875,0,0,-9.5625,0,0,0,14.0625,0,0,0,0,0,0,0,0,9,0,0,0,48.375,8.4375,-15.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-47.15625,0,0,0,0,81.5104166666667,0,0,0,0,0,0,182.604166666667,0,-88.6979166666667,0,0,246.104166666667,0,0,0,0,0,0,52.3229166666667,0,0,0,114.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92.2604166666667,0,0,0,0,0,-3.9375,-7.70833333333333,0,0,0,0,0,0,0,0,-29.875,0,0,0,0,-45.0729166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,26.5416666666667,0,28.2395833333333,0,0,-96.0833333333333,0,0,0,0,5.55729166666667,0,0,0,19.0572916666667,0,0,162.765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57.859375,0,0,47.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96875,0,0,63.6822916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-233.427083333333,0,0,0,0,0,0,0,0,-203.041666666667,0,0,0,0,0,0,0,0,0,0,258.973958333333,-138.739583333333,-122.182291666667,0,74.0885416666667,0,0,181.520833333333,0,0,0,0,-114.140625,39.6770833333333,0,0,0,0,0,0,101.380208333333,0,0,0,0,0,0,0,0,0,0,-2.65625,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,36.1458333333333,0,0,0,0,0,0,0,0,35.125,0,0,0,0,0,0,0,0,0,0,-138.739583333333,254.4375,-169.90625,0,-3.17708333333333,0,0,-90.5,0,0,0,0,122.697916666667,-4.6875,0,0,0,0,0,0,-58.4895833333333,0,0,0,0,0,0,0,0,0,0,-30.2083333333333,0,0,0,0,0,0,62.2291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,239.260416666667,0,0,0,0,0,0,0,0,224.0625,0,0,0,0,0,0,0,0,0,0,-122.182291666667,-169.90625,411.682291666667,0,-60.7552083333333,0,0,-159.104166666667,0,0,0,0,-71.546875,-76.09375,0,0,0,0,0,0,-39.4010416666667,0,0,0,0,0,0,0,0,0,0,35.15625,0,0,0,0,0,0,-5.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11.25,0,0,0,0,0,0,0,-24.5625,0,-3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.125,0,0,5.0625,0,0,0,-8.4375,0,0,0,0,0,0,0,16.875,10.3125,0,0,0,0,0,0,0,-4.125,0,0,0,0,0,0,5.8125,0,0,0,0,15.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
