Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
49,974616857,chess_is_ok (102/150),0,311.5,PG James Harden C Karl-Anthony Towns SG CJ McCollum PF Jayson Tatum SF Marcus Smart F Kyle Anderson G Shabazz Napier UTIL Tyus Jones,,Enes Kanter,F,1.58%,20
52,974270945,footballfoolz,0,311.25,C Andre Drummond PG Kyrie Irving PF Pau Gasol F Dario Saric SG Eric Gordon G Ish Smith SF Courtney Lee UTIL Terry Rozier,,LaMarcus Aldridge,C,1.36%,40.75
53,974343175,calicain,0,311,SG James Harden C Karl-Anthony Towns SF Tobias Harris F Dario Saric PG Ish Smith PF Bismack Biyombo UTIL Shabazz Napier G Tyus Jones,,Kyle Anderson,F,1.28%,27.5
53,974360117,chuckface8,0,311,UTIL James Harden C Karl-Anthony Towns SF Tobias Harris F Dario Saric PG Ish Smith PF Bismack Biyombo G Shabazz Napier SG Tyus Jones,,Tony Parker,PG,1.17%,22.5
55,974268475,rsbathla (31/150),0,310.5,SG James Harden C Joel Embiid G Elfrid Payton F Marcus Smart PG Ish Smith PF Bismack Biyombo SF Reggie Bullock UTIL Tyus Jones,,Anthony Tolliver,SF,1.17%,6
56,974169148,shawnzhan (114/150),0,310.25,SF Giannis Antetokounmpo SG Jimmy Butler UTIL CJ McCollum C Jusuf Nurkic F Dario Saric PG Ish Smith PF Marreese Speights G Tyus Jones,,Gorgui Dieng,PF,1.02%,10
57,974284735,cheddabisque (95/150),0,310,G James Harden C Andre Drummond SG CJ McCollum F Trevor Ariza PG Ish Smith PF Bismack Biyombo SF Reggie Bullock UTIL Tyus Jones,,Kyle O'Quinn,PF,0.98%,17.5
57,974302962,bric75 (8/35),0,310,SG James Harden C Andre Drummond UTIL CJ McCollum F Trevor Ariza PG Ish Smith PF Bismack Biyombo SF Reggie Bullock G Tyus Jones,,Maurice Harkless,SF,0.92%,18.5
57,974356970,dollarbl (3/3),0,310,SG James Harden C Karl-Anthony Towns PF Pau Gasol SF Jayson Tatum UTIL Ish Smith F Bismack Biyombo G Shabazz Napier PG Tyus Jones,,Rudy Gay,SF,0.92%,19.75
60,974121998,gosixersgo76 (2/12),0,309.75,SG James Harden C Andre Drummond UTIL Karl-Anthony Towns G Ish Smith F Michael Beasley SF Reggie Bullock PF Ed Davis PG Tyus Jones,,Jonathon Simmons,G,0.81%,27
60,974129654,gosixersgo76 (8/12),0,309.75,SG James Harden C Andre Drummond UTIL Karl-Anthony Towns G Ish Smith F Michael Beasley SF Reggie Bullock PF Ed Davis PG Tyus Jones,,Michael Beasley,F,0.75%,51
60,974284667,cheddabisque (27/150),0,309.75,UTIL James Harden PF Kristaps Porzingis C Jusuf Nurkic G Eric Gordon SF Evan Fournier PG Ish Smith F Bismack Biyombo SG Tyus Jones,,T.J. McConnell,UTIL,0.68%,29.75
60,974387613,Awesemo (26/150),0,309.75,PG James Harden SG Jimmy Butler UTIL CJ McCollum C Jusuf Nurkic F Jayson Tatum PF Bismack Biyombo SF Reggie Bullock G Tyus Jones,,Daniel Theis,F,0.60%,0.75
60,974616801,chess_is_ok (46/150),0,309.75,SG James Harden C Joel Embiid SF Tobias Harris F Marcus Smart UTIL Ish Smith PF Bismack Biyombo G Shabazz Napier PG Tyus Jones,,Doug McDermott,F,0.58%,16.25
