"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG","Yakuba Ouattara",3000,"ATL@BKN 12/02/2017 03:00PM ET",0,"BKN","ATL",0,0,0
"C","Willie Reed",3000,"LAC@DAL 12/02/2017 02:00PM ET",11.329,"LAC","DAL",16.11,0,2
"PF/C","Brice Johnson",3000,"LAC@DAL 12/02/2017 02:00PM ET",5.3,"LAC","DAL",0,0,6.75
"PG","Jawun Evans",3000,"LAC@DAL 12/02/2017 02:00PM ET",8.654,"LAC","DAL",8.31,0,9.25
"SG","CJ Williams",3000,"LAC@DAL 12/02/2017 02:00PM ET",5.214,"LAC","DAL",9.24,0,11.75
"SF/PF","Jamil Wilson",3000,"LAC@DAL 12/02/2017 02:00PM ET",4.5,"LAC","DAL",0,0,13
"PF/C","Josh McRoberts",3000,"LAC@DAL 12/02/2017 02:00PM ET",0,"DAL","LAC",0,0,0
"SG","Antonius Cleveland",3000,"LAC@DAL 12/02/2017 02:00PM ET",2.625,"DAL","LAC",0,0,6.25
"C","Jeff Withey",3000,"LAC@DAL 12/02/2017 02:00PM ET",3.464,"DAL","LAC",0,0,6
"SF","Dorian Finney-Smith",3000,"LAC@DAL 12/02/2017 02:00PM ET",5.875,"DAL","LAC",0,0,0
"PF/C","Johnathan Motley",3000,"LAC@DAL 12/02/2017 02:00PM ET",0,"DAL","LAC",0,0,0
