"Player","Pos","Team","Opp","Def v Pos","VegasPts","Salary","Floor","Ceiling","FPG","FPPM","USG","FGA","MPG","Proj Mins","FC Proj","My Proj","Exposure","Con.","Value","Mins","Score","Val"
"Elfrid Payton","PG","ORL","@ MIA","9th",98.25,6600,11.6,52.3,29,1.03,21,9.9,28.2,29.96,29.03,29.03,"%",60,4.4,33,39,5.9
"Austin Rivers","PG/SGPGSG","LAC","vs SAC","6th",105,6600,17.2,55.2,27.7,0.85,23.2,13.9,32.6,35.76,33.47,33.47,"%",61,5.1,25,17.5,2.7
"Nikola Mirotic","PF/CPFC","CHI","@ MIL","7th",103.25,6500,14.3,51.8,31.7,1.28,26,12.3,24.8,25.99,30.38,30.38,"%",66,4.7,28,37.5,5.8
"Rodney Hood","SG/SFSGSF","UTA","@ DEN","10th",100,6400,14.3,46.5,26.1,0.93,28.3,14.7,28.1,29.86,28.1,28.1,"%",65,4.4,28,19,3
"Pau Gasol","PF/CPFC","SAS","vs BKN","29th",109,6400,14,54.1,28.4,1.16,20.1,8.3,24.5,25.74,31.15,31.15,"%",60,4.9,28,41.5,6.5
"Gary Harris","SG","DEN","vs UTA","1st",105,6300,17.1,44.5,29.3,0.86,20,13,33.9,36,28.8,28.8,"%",73,4.6,36,26,4.1
"Spencer Dinwiddie","PG/SGPGSG","BKN","@ SAS","5th",98,6300,13.7,52.2,29.5,1.11,21.1,10.8,26.6,30.18,30.21,30.21,"%",63,4.8,26,23.5,3.7
"Harrison Barnes","SF/PFSFPF","DAL","vs TOR","4th",101.5,6200,18,42.6,32,0.93,25.6,15.5,34.4,34.25,28.56,28.56,"%",78,4.6,35,31.5,5.1
"Kawhi Leonard","SF/PFSFPF","SAS","vs BKN","15th",109,6100,28.1,47.7,22.7,1.38,29,9,16.5,25,36.48,36.48,"%",75,6,26,27.5,4.5
"Kelly Olynyk","PF/CPFC","MIA","vs ORL","20th",106.25,6100,13.9,47.1,22.2,1.01,20.6,6.9,22,29.96,28.13,28.13,"%",57,4.6,31,43,7
"Tobias Harris","SF/PFSFPF","DET","vs IND","6th",104.5,6100,13.6,46.1,29.6,0.91,22.9,14.7,32.4,33.43,27.55,27.55,"%",69,4.5,29,44,7.2
"Zach Randolph","PF/CPFC","SAC","@ LAC","14th",100,6000,16.1,57.3,29.5,1.15,27.3,12.8,25.7,26.11,33.73,33.73,"%",60,5.6,21,21.75,3.6
"Jamal Murray","PG/SGPGSG","DEN","vs UTA","1st",105,5900,6.8,49.7,24.9,0.91,24.1,12.2,27.3,29.93,25.17,25.17,"%",51,4.3,35,36.5,6.2
"Derrick Favors","PF/CPFC","UTA","@ DEN","17th",100,5900,14,52,25.2,0.93,19.5,9,27,29.8,30.28,30.28,"%",57,5.1,28,30.5,5.2
"Evan Fournier","SG/SFSGSF","ORL","@ MIA","22nd",98.25,5900,10.1,40.9,29.8,0.93,23.7,14,32,27,23.3,23.3,"%",70,3.9,29,17.75,3
"Rondae Hollis-Jefferson","SF/PFSFPF","BKN","@ SAS","2nd",98,5900,14.6,51.6,28.7,1.03,22.6,10.8,27.8,31.5,30.46,30.46,"%",63,5.2,27,27,4.6
"Serge Ibaka","PF/CPFC","TOR","@ DAL","24th",107.5,5800,20.3,46.4,26.4,0.96,20.7,10.9,27.4,29,31.49,31.49,"%",72,5.4,31,32.5,5.6
"Will Barton","SG/SFSGSF","DEN","vs UTA","7th",105,5800,12.1,50.9,30.5,1,21.3,12,30.6,29.27,28.74,28.74,"%",64,5,36,20,3.4
"Ricky Rubio","PG","UTA","@ DEN","23rd",100,5800,7.1,42.3,26,0.91,23.2,9.9,28.5,25.75,22.17,22.17,"%",61,3.8,32,23,4
"Thaddeus Young","SF/PFSFPF","IND","@ DET","12th",102.5,5800,13.2,40.8,27.6,0.84,17.2,11.1,32.8,30.27,25.03,25.03,"%",71,4.3,21,10,1.7
"Tyler Johnson","PG/SGPGSG","MIA","vs ORL","17th",106.25,5700,13.3,42.3,22,0.79,19.5,9.5,27.9,29.57,25.7,25.7,"%",62,4.5,36,29,5.1
"Darren Collison","PG","IND","@ DET","11th",102.5,5600,10.5,47.6,27.8,0.92,17.3,9.4,30.2,29.7,26.37,26.37,"%",62,4.7,18,6.75,1.2
"Willie Cauley-Stein","PF/CPFC","SAC","@ LAC","25th",100,5500,18,54,24.5,0.98,21.4,9,25,29.61,33.4,33.4,"%",58,6.1,25,37.25,6.8
"Reggie Jackson","PG","DET","vs IND","13th",104.5,5500,12.5,40.5,27,1.01,26.6,12.4,26.7,26.64,24.48,24.48,"%",70,4.5,21,30.75,5.6
"Lauri Markkanen","PF","CHI","@ MIL","7th",103.25,5400,13.5,41.6,29.1,0.99,22.8,12.8,29.4,29.9,25.56,25.56,"%",72,4.7,19,13.75,2.5
"Domantas Sabonis","PF/CPFC","IND","@ DET","12th",102.5,5400,9.7,40.2,26.3,1.11,22.7,8.6,23.8,22.25,22.76,22.76,"%",67,4.2,17,20.25,3.8
"Alex Len","PF/CPFC","PHX","vs MEM","6th",102,5300,8.6,44.9,24.8,1.16,17.4,6,21.4,20.11,24.15,24.15,"%",58,4.6,29,28.5,5.4
"Justin Holiday","SG/SFSGSF","CHI","@ MIL","29th",103.25,5200,16.4,43.5,27,0.82,19.5,12.3,32.9,30.52,27.99,27.99,"%",71,5.4,32,22.25,4.3
"Rudy Gay","SF/PFSFPF","SAS","vs BKN","15th",109,5200,6.3,35.7,23.3,1.03,24.8,9.3,22.6,18,18.88,18.88,"%",64,3.6,15,6.25,1.2
"Caris LeVert","SG/SFSGSF","BKN","@ SAS","2nd",98,5100,12.1,41.1,24.4,0.93,21.6,9.7,26.1,27.93,24.49,24.49,"%",66,4.8,27,29.5,5.8
"Danny Green","SG/SFSGSF","SAS","vs BKN","27th",109,5100,5.8,40.2,21.2,0.78,17.1,8.5,27.2,24.92,20.53,20.53,"%",54,4,23,12,2.4
"Mario Hezonja","SG","ORL","@ MIA","18th",98.25,5000,8.9,51.1,11.7,0.82,17.3,4.8,14.2,31.48,26.95,26.95,"%",0,5.4,32,22.25,4.5
"DeMarre Carroll","SF/PFSFPF","BKN","@ SAS","23rd",98,5000,17,45.5,27.9,0.98,20.1,10.5,28.6,28.4,29.22,29.22,"%",71,5.8,27,15,3
"Jonas Valanciunas","C","TOR","@ DAL","11th",107.5,4900,5.3,43.2,22.9,1.12,21.3,7.5,20.4,20.98,21.57,21.57,"%",53,4.4,24,35.25,7.2
"Joe Ingles","SG/SFSGSF","UTA","@ DEN","5th",100,4900,12.9,37,24.5,0.82,15.5,8.1,30,32.46,23.24,23.24,"%",72,4.7,29,22.75,4.6
"Malcolm Brogdon","PG/SGPGSG","MIL","vs CHI","30th",110.25,4800,14.8,44.2,24.1,0.8,20.1,10.9,30,30,27.39,27.39,"%",65,5.7,29,32,6.7
"Dennis Smith Jr.","PG/SGPGSG","DAL","vs TOR","7th",101.5,4800,9.3,39.8,26.2,0.97,29.2,13.8,27,25.92,22.34,22.34,"%",67,4.7,26,19.75,4.1
"Denzel Valentine","PG/SFPGSF","CHI","@ MIL","29th",103.25,4700,8.5,42.9,22.6,0.81,16.4,8.9,27.9,29,23.23,23.23,"%",57,4.9,27,23.5,5
"Isaiah Canaan","PG/SGPGSG","PHX","vs MEM","3rd",102,4700,6.2,46.8,23.7,1.09,21.2,7.5,21.8,24.2,23.6,23.6,"%",51,5,20,12.25,2.6
"John Henson","C","MIL","vs CHI","11th",110.25,4700,8.2,40.3,21.7,0.92,15.4,5.8,23.5,25.44,21.98,21.98,"%",58,4.7,20,22.5,4.8
"Buddy Hield","SG/SFSGSF","SAC","@ LAC","26th",100,4700,13.2,52.8,22.4,0.99,25.5,10.9,22.6,28,30.13,30.13,"%",50,6.4,17,12,2.6
"Juan Jose Barea","PG/SGPGSG","DAL","vs TOR","7th",101.5,4600,16.7,41.8,25.8,1.15,26.4,10,22.4,24.57,27.47,27.47,"%",72,6,22,29.75,6.5
"Kyle Anderson","PG/SFPGSF","SAS","vs BKN","15th",109,4600,6.8,34.7,23.5,0.88,14.8,6.5,26.6,21.1,18.76,18.76,"%",66,4.1,18,14.75,3.2
"George Hill","PG/SGPGSG","SAC","@ LAC","10th",100,4600,12.1,42.8,20.4,0.78,16.8,7.6,26.3,32,25.25,25.25,"%",57,5.5,27,25,5.4
"Wilson Chandler","SF/PFSFPF","DEN","vs UTA","7th",105,4600,13,42.8,21.8,0.72,15.3,8.7,30.4,33.86,25.77,25.77,"%",61,5.6,33,26.25,5.7
"Bobby Portis","PF/CPFC","CHI","@ MIL","7th",103.25,4600,5.1,37.2,25.1,1.21,26.4,10.2,20.7,17.11,18.87,18.87,"%",64,4.1,24,22.5,4.9
"Milos Teodosic","PG/SGPGSG","LAC","vs SAC","17th",105,4600,17.7,39.6,20.7,0.88,20.7,8.8,23.6,30.76,27.1,27.1,"%",70,5.9,20,28.5,6.2
"Dirk Nowitzki","PF/CPFC","DAL","vs TOR","8th",101.5,4500,12,37.8,23.5,0.95,20.8,9.8,24.8,25.86,23.07,23.07,"%",69,5.1,26,35.75,7.9
"Yogi Ferrell","PG/SGPGSG","DAL","vs TOR","7th",101.5,4500,5.3,35.3,19.8,0.69,17,8.4,28.5,25,18.13,18.13,"%",57,4,19,8,1.8
"Trey Lyles","SF/PFSFPF","DEN","vs UTA","9th",105,4500,9.4,48.9,16.6,0.99,20.5,6.1,16.8,28.39,26.29,26.29,"%",32,5.8,27,28.5,6.3
"Robin Lopez","C","CHI","@ MIL","27th",103.25,4500,14.9,38.6,24.4,0.84,20.5,11.1,29,26.38,25.03,25.03,"%",72,5.6,23,19.5,4.3
"Alec Burks","PG/SGPGSG","UTA","@ DEN","10th",100,4400,0,36.2,18.5,0.97,24.2,8.1,19,13,13.72,13.72,"%",39,3.1,12,7.25,1.6
"Dejounte Murray","PG","SAS","vs BKN","30th",109,4400,0,26.2,18.3,0.98,19.4,6.5,18.7,2.18,2.59,2.59,"%",35,0.6,4,6.75,1.5
"Wesley Matthews","SG/SFSGSF","DAL","vs TOR","13th",101.5,4400,7.5,40.6,22.6,0.67,17.4,10.7,33.8,32.68,21.67,21.67,"%",58,4.9,35,15.5,3.5
"Mason Plumlee","PF/CPFC","DEN","vs UTA","9th",105,4400,10.9,41.9,19.5,1.01,18.2,5.1,19.4,25.75,24.15,24.15,"%",55,5.5,20,23.5,5.3
"Tyson Chandler","C","PHX","vs MEM","6th",102,4400,5.6,34.5,22,0.87,10.5,4.2,25.2,22.54,17.99,17.99,"%",62,4.1,17,19,4.3
"Lance Stephenson","SG/SFSGSF","IND","@ DET","4th",102.5,4300,10.8,38.6,20,0.91,19.7,7.5,21.9,24.24,22.71,22.71,"%",60,5.3,32,18,4.2
"Allen Crabbe","SG/SFSGSF","BKN","@ SAS","2nd",98,4200,9.2,37.5,21.6,0.77,18.2,10.3,28.1,30.82,21.36,21.36,"%",63,5.1,31,22.25,5.3
"Jordan Mickey","PF/CPFC","MIA","vs ORL","23rd",106.25,4200,0.1,28.3,13.6,0.96,18.6,4.4,14.2,12.24,12.17,12.17,"%",41,2.9,15,4.75,1.1
"Bojan Bogdanovic","SG/SFSGSF","IND","@ DET","4th",102.5,4200,6.8,36.8,22.1,0.71,18.4,10.8,31.2,33.98,19.61,19.61,"%",61,4.7,24,15.75,3.8
"Tony Parker","PG","SAS","vs BKN","30th",109,4200,18,41.2,18.7,0.96,23.6,7.5,19.4,24.68,27.91,27.91,"%",64,6.6,24,19.5,4.6
"Frank Mason III","PG/SGPGSG","SAC","@ LAC","10th",100,4100,4.2,27.7,15.8,0.87,25.2,7,18.2,16.62,14.23,14.23,"%",57,3.5,22,17.5,4.3
"Josh Jackson","SG/SFSGSF","PHX","vs MEM","12th",102,4100,4.1,30.9,17.6,0.8,23.9,9.1,22,22.71,15.6,15.6,"%",57,3.8,12,6.75,1.6
"Stanley Johnson","SG/SFSGSF","DET","vs IND","6th",104.5,4100,4,31.7,17.1,0.63,13.9,7.1,27.1,25.17,15.88,15.88,"%",54,3.9,36,18.25,4.5
"Bam Adebayo","PF/CPFC","MIA","vs ORL","20th",106.25,4100,6.8,42,16.4,0.86,14.3,4.3,19.1,24.68,21.84,21.84,"%",39,5.3,25,30.75,7.5
"Garrett Temple","PG/SGPGSG","SAC","@ LAC","26th",100,4100,8,36.1,16.5,0.67,16.3,7.4,24.5,27.37,20.06,20.06,"%",51,4.9,21,18.5,4.5
"Maxi Kleber","PF","DAL","vs TOR","8th",101.5,4100,1.3,33.2,12.6,0.68,13,4.4,18.4,21.71,14.96,14.96,"%",28,3.6,25,43,10.5
"Andrew Harrison","PG/SGPGSG","MEM","@ PHX","28th",103,4100,19.1,47.8,15.1,0.77,19.8,5.7,19.5,32.31,31.41,31.41,"%",46,7.7,30,22.5,5.5
"Bogdan Bogdanovic","SG/SFSGSF","SAC","@ LAC","26th",100,4000,16.9,37.3,18.9,0.77,19.8,8.3,24.4,29.73,25.63,25.63,"%",69,6.4,28,18.25,4.6
"David Nwaba","SG/SFSGSF","CHI","@ MIL","29th",103.25,4000,8.2,36.6,19.1,0.83,14,5.2,23.1,23.32,20.36,20.36,"%",57,5.1,24,23.75,5.9
"Manu Ginobili","SG/SFSGSF","SAS","vs BKN","27th",109,4000,6,33.9,16.6,0.81,22.7,7.3,20.4,21.05,17.96,17.96,"%",52,4.5,21,23,5.8
"Jerian Grant","PG/SGPGSG","CHI","@ MIL","4th",103.25,3900,1.1,32.2,20.8,0.93,19,6.9,22.4,15.05,14.42,14.42,"%",57,3.7,14,18.25,4.7
"Anthony Tolliver","SF/PFSFPF","DET","vs IND","26th",104.5,3900,9.5,31.4,14.5,0.75,16,5.5,19.3,24.04,18.92,18.92,"%",57,4.9,16,1.75,0.4
"Patrick Mills","PG","SAS","vs BKN","30th",109,3900,11.3,36.4,18.8,0.77,18.3,8.1,24.5,23.79,22.01,22.01,"%",62,5.6,21,11.5,2.9
"Wayne Ellington","SG/SFSGSF","MIA","vs ORL","17th",106.25,3900,11.2,45.4,16.7,0.76,17.6,7.5,22.1,33.39,25.84,25.84,"%",42,6.6,33,34,8.7
"Ishmael Smith","PG","DET","vs IND","13th",104.5,3800,8.5,30.6,18.3,0.94,23.6,8.6,19.5,20.65,17.99,17.99,"%",65,4.7,24,18,4.7
"Jakob Poeltl","PF/CPFC","TOR","@ DAL","11th",107.5,3800,0,28,16.4,0.98,17.2,4.7,16.8,13.98,10.74,10.74,"%",47,2.8,17,17.5,4.6
"Troy Daniels","SG","PHX","vs MEM","19th",102,3800,4.9,36.3,12.1,0.7,18,6.2,17.2,23.29,18.35,18.35,"%",26,4.8,20,10,2.6
"Tony Snell","SG/SFSGSF","MIL","vs CHI","18th",110.25,3800,2.7,26,15.8,0.52,10.4,6,30.5,26.3,12.68,12.68,"%",58,3.3,32,21.25,5.6
"Pascal Siakam","PF","TOR","@ DAL","24th",107.5,3800,7.1,32.7,17.9,0.92,16.5,6.2,19.5,18.26,18.08,18.08,"%",59,4.8,20,13.25,3.5
"Emmanuel Mudiay","PG","DEN","vs UTA","8th",105,3800,0,20.9,18.4,0.89,24.4,8.4,20.7,0,0,0,"%",43,0,1,8,2.1
"Dillon Brooks","SG/SFSGSF","MEM","@ PHX","17th",103,3800,0.8,28.7,15.8,0.58,14.1,6.7,27.3,26.23,12.77,12.77,"%",50,3.4,32,10.75,2.8
"Joe Harris","SG/SFSGSF","BKN","@ SAS","2nd",98,3800,5.1,28.1,17.6,0.74,17,8.1,23.8,23.07,14.93,14.93,"%",63,3.9,25,9.25,2.4
"Delon Wright","PG/SGPGSG","TOR","@ DAL","25th",107.5,3800,7.8,31.5,16.8,0.83,17.6,5.6,20.2,20,18,18,"%",60,4.7,15,14.25,3.8
"Reggie Bullock","SG/SFSGSF","DET","vs IND","6th",104.5,3800,1.6,33.2,10.9,0.6,12.6,4.3,18.1,28.05,15.15,15.15,"%",17,4,29,19,5
"D.J. Augustin","PG/SGPGSG","ORL","@ MIA","9th",98.25,3800,1.5,30.7,17,0.81,18.2,5.9,21,20,14,14,"%",51,3.7,15,16.75,4.4
"Torrey Craig","SG/SFSGSF","DEN","vs UTA","7th",105,3800,0,26.5,12.8,0.67,11.4,3.5,19,14.28,9.37,9.37,"%",33,2.5,21,16.75,4.4
"Bismack Biyombo","PF/CPFC","ORL","@ MIA","17th",98.25,3800,14.2,32.7,11.9,0.8,13.9,3.1,14.9,29,22.13,22.13,"%",56,5.8,29,27.5,7.2
"C.J. Miles","SG/SFSGSF","TOR","@ DAL","14th",107.5,3700,2.6,29.3,16.4,0.9,22.6,8.3,18.2,14.95,14.01,14.01,"%",53,3.8,10,4.75,1.3
"C.J. Williams","SG","LAC","vs SAC","6th",105,3700,7.7,26.3,10.5,0.6,14.4,4.7,17.4,27.68,15.67,15.67,"%",49,4.2,22,11.75,3.2
"Cory Joseph","PG","IND","@ DET","11th",102.5,3700,4,31.2,17.7,0.73,15.1,6.7,24.3,25.86,15.65,15.65,"%",56,4.2,28,13.25,3.6
"Jamil Wilson","SF/PFSFPF","LAC","vs SAC","1st",105,3700,4.4,28.1,11.9,0.67,15.2,5.1,17.7,23.64,14.56,14.56,"%",43,3.9,18,28.25,7.6
"Joe Johnson","SG/SFSGSF","UTA","@ DEN","5th",100,3700,3.9,22.4,13,0.65,20,6.8,20,20.43,11.83,11.83,"%",59,3.2,24,10.25,2.8
"OG Anunoby","SF/PFSFPF","TOR","@ DAL","14th",107.5,3700,2.6,22.8,13.2,0.64,13.5,5.1,20.5,20,11.26,11.26,"%",56,3,19,7.25,2
"Adreian Payne","PF","ORL","@ MIA","1st",98.25,3600,9.3,21.6,11.4,0.9,22.4,3.3,12.7,19,14.54,14.54,"%",69,4,1,2,0.6
"Marreese Speights","PF/CPFC","ORL","@ MIA","1st",98.25,3600,2,28.3,11.8,0.97,30,6.8,12.2,18.53,13.25,13.25,"%",36,3.7,16,22,6.1
"Jonas Jerebko","SF/PFSFPF","UTA","@ DEN","17th",100,3600,3.6,33.6,14.2,0.84,14.9,4.9,17,18.46,16.43,16.43,"%",40,4.6,26,18.25,5.1
"Sam Dekker","SF/PFSFPF","LAC","vs SAC","1st",105,3600,3,25.4,9.7,0.73,17.5,4.3,13.3,18.93,12.57,12.57,"%",34,3.5,23,19,5.3
"Brandan Wright","PF/CPFC","MEM","@ PHX","29th",103,3600,11.8,41.2,13.2,0.94,16.1,3.9,14,23.28,24.4,24.4,"%",36,6.8,18,20.75,5.8
"Ekpe Udoh","PF/CPFC","UTA","@ DEN","17th",100,3600,0.9,26.9,12.1,0.78,8.8,2.2,15.5,14,12.01,12.01,"%",39,3.3,12,4.25,1.2
"Tyler Ulis","PG","PHX","vs MEM","3rd",102,3600,1.3,30.9,17.2,0.75,19.8,7.7,22.9,22,14.01,14.01,"%",51,3.9,27,23.25,6.5
"Devin Harris","PG/SGPGSG","DAL","vs TOR","7th",101.5,3600,5,31.3,16,0.88,23.3,6.5,18.1,20.05,16.3,16.3,"%",53,4.5,14,12.75,3.5
"Luke Kennard","SG","DET","vs IND","15th",104.5,3600,5.2,30.1,11.3,0.71,17.4,5.4,16,22,15.84,15.84,"%",37,4.4,11,9.5,2.6
"Mario Chalmers","PG","MEM","@ PHX","28th",103,3600,0,28.1,18.3,0.81,19.7,7.1,22.5,11.44,9.74,9.74,"%",50,2.7,0,0,NA
"Langston Galloway","PG/SGPGSG","DET","vs IND","13th",104.5,3600,1,27.3,12,0.86,20.4,5.6,13.9,13.9,12.25,12.25,"%",38,3.4,18,10.75,3
"Jarell Martin","PF/CPFC","MEM","@ PHX","29th",103,3500,4.9,29.6,11.2,0.71,17.5,4.3,15.8,20,15.48,15.48,"%",37,4.4,26,21.5,6.1
"Montrezl Harrell","PF/CPFC","LAC","vs SAC","25th",105,3500,10.3,32.3,13,1.13,22.5,4.5,11.5,18,19.73,19.73,"%",52,5.6,21,37.5,10.7
"Fred VanVleet","PG","TOR","@ DAL","25th",107.5,3500,0,26,14.7,0.86,18,5.8,17.1,11.88,10.85,10.85,"%",49,3.1,20,19.75,5.6
"Bryn Forbes","PG/SGPGSG","SAS","vs BKN","30th",109,3500,0,21.9,11.6,0.59,16.1,6.3,19.8,11.88,7.5,7.5,"%",38,2.1,13,6.75,1.9
"Tyler Zeller","C","BKN","@ SAS","13th",98,3500,8.7,29.3,16.8,0.91,19.3,5.8,18.5,19.39,17.51,17.51,"%",65,5,18,19,5.4
"Kosta Koufos","C","SAC","@ LAC","25th",100,3500,5.3,33.5,16.3,0.92,14.4,4.4,17.8,17,17.36,17.36,"%",51,5,15,10,2.9
"Marquese Chriss","PF/CPFC","PHX","vs MEM","6th",102,3500,2,31.7,16.5,0.84,16,5.7,19.7,20.29,14.73,14.73,"%",49,4.2,29,25.75,7.4
"Norman Powell","SG/SFSGSF","TOR","@ DAL","12th",107.5,3500,0,25.1,15.3,0.79,20.5,7,19.4,11,8.7,8.7,"%",46,2.5,10,6.5,1.9
"Thabo Sefolosha","SG/SFSGSF","UTA","@ DEN","5th",100,3500,1.1,28.6,17.4,0.86,17,6.1,20.3,17.32,12.87,12.87,"%",55,3.7,0,0,NA
"Jarrett Allen","PF/CPFC","BKN","@ SAS","13th",98,3400,6,26.9,13.4,0.83,13.6,4,16.1,18.18,14.96,14.96,"%",56,4.4,21,23.75,7
"Nik Stauskas","PG/SGPGSG","BKN","@ SAS","2nd",98,3400,0,28.9,8.1,0.77,16.9,3.2,10.5,11.14,7.91,7.91,"%",0,2.3,11,4.5,1.3
"Davis Bertans","SF/PFSFPF","SAS","vs BKN","15th",109,3400,0,26.9,9.5,0.9,20.8,3.7,10.6,9.63,9.23,9.23,"%",7,2.7,4,4,1.2
"Dragan Bender","SF/PFSFPF","PHX","vs MEM","6th",102,3400,2.9,25.7,12.7,0.61,12.7,5.1,20.7,24.82,12.66,12.66,"%",49,3.7,18,10,2.9
"Jawun Evans","PG","LAC","vs SAC","17th",105,3400,0,26.1,11.5,0.74,21.8,5.7,15.6,12.22,9.73,9.73,"%",29,2.9,26,17.5,5.1
"Arron Afflalo","SG/SFSGSF","ORL","@ MIA","18th",98.25,3400,0,13.4,5.3,0.41,10.9,2.8,12.8,5.88,2.3,2.3,"%",0,0.7,16,9.5,2.8
"Thon Maker","PF/CPFC","MIL","vs CHI","11th",110.25,3400,3.3,23.8,12.5,0.69,12.9,3.7,18,18.43,12.09,12.09,"%",53,3.6,17,5.25,1.5
"Lucas Nogueira","C","TOR","@ DAL","11th",107.5,3300,0,29.8,11.3,0.97,12.7,2.8,11.6,8,6.46,6.46,"%",0,2,0,0,NA
"Jonathan Isaac","SF/PFSFPF","ORL","@ MIA","22nd",98.25,3300,5.4,27.2,14.6,0.78,14.9,5,18.6,18,14.74,14.74,"%",57,4.5,15,5.75,1.7
"DeAndre Liggins","SG/SFSGSF","MIL","vs CHI","30th",110.25,3300,0,17.1,7.4,0.5,9.8,2.3,14.8,11.89,6.75,6.75,"%",30,2,16,4.5,1.4
"Quincy Acy","PF/CPFC","BKN","@ SAS","4th",98,3300,2.9,20.2,11.9,0.7,16.8,4.8,17,17.82,10.32,10.32,"%",58,3.1,19,21.5,6.5
"Paul Zipser","SG/SFSGSF","CHI","@ MIL","10th",103.25,3300,0,18.6,10.2,0.64,17.5,4.9,15.9,9.3,6.03,6.03,"%",38,1.8,11,11.25,3.4
"Skal Labissiere","PF/CPFC","SAC","@ LAC","14th",100,3300,0,20.7,14.5,0.94,24.7,6.4,15.4,6.37,6.16,6.16,"%",50,1.9,0,0,NA
