"Kevin Durant_GS","Stephen Curry_GS","Damian Lillard_POR","Draymond Green_GS","Nikola Jokic_DEN","Klay Thompson_GS","Lonzo Ball_LAL","CJ McCollum_POR","Brandon Ingram_LAL","Paul Millsap_DEN","Jusuf Nurkic_POR","Kyle Kuzma_LAL","Gary Harris_DEN","Will Barton_DEN","Kentavious Caldwell-Pope_LAL","Jamal Murray_DEN","Julius Randle_LAL","Larry Nance_LAL","Jordan Clarkson_LAL","Omri Casspi_GS","Al-Farouq Aminu_POR","Trey Lyles_DEN","Wilson Chandler_DEN","Brook Lopez_LAL","Jordan Bell_GS","Mason Plumlee_DEN","Shabazz Napier_POR","Andre Iguodala_GS","Josh Hart_LAL","Evan Turner_POR","Ed Davis_POR","Emmanuel Mudiay_DEN","Patrick McCaw_GS","Torrey Craig_DEN","Shaun Livingston_GS","Corey Brewer_LAL","Kenneth Faried_DEN","David West_GS","Kevon Looney_GS","Maurice Harkless_POR","Zach Collins_POR","Zaza Pachulia_GS","Nick Young_GS","Pat Connaughton_POR","Juancho Hernangomez_DEN","JaVale McGee_GS","Ivica Zubac_LAL","Meyers Leonard_POR","Noah Vonleh_POR","Malik Beasley_DEN","Caleb Swanigan_POR","Quinn Cook_GS","Luol Deng_LAL","Andrew Bogut_LAL","Vander Blue_LAL","Alex Caruso_LAL","Damian Jones_GS","Tyler Ennis_LAL","Thomas Bryant_LAL","Chris Boucher_GS","Richard Jefferson_DEN","Darrell Arthur_DEN","CJ Wilcox_POR","Jake Layman_POR","Monte Morris_DEN","Wade Baldwin IV_POR","Tyler Lydon_DEN"
0,0,0,0,-20.6473214285714,0,0,0,0,0,0,0,-19.046875,-81.5982142857143,0,128.629464285714,0,0,0,0,0,20.7388392857143,156.477678571429,0,0,90.2901785714286,0,0,0,0,0,-67.6808035714286,0,40.8928571428571,0,0,-104.955357142857,0,0,0,0,0,0,0,0,0,0,0,0,38.9977678571429,0,0,0,0,0,0,0,0,0,0,-25.8415178571429,11.5848214285714,0,0,0,0,0
0,0,0,0,0,0,-0.254166666666667,0,-49.9625,0,0,-55.7791666666667,0,0,62.7083333333333,0,55.8041666666667,-74.7416666666667,21.0958333333333,0,0,0,0,100.091666666667,0,0,0,0,-35.3125,0,0,0,0,0,0,-117.733333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.9375,0,0,0,0,0,0,0,0,0,0,0,0,0
100.151785714286,-50.8705357142857,0,-98.1369047619048,0,10.7633928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2127976190476,0,0,0,0,75.4464285714286,0,0,-37.4092261904762,0,0,0,0,-11.9032738095238,0,8.69642857142857,0,0,2.07440476190476,-2.33035714285714,0,0,14.7886904761905,-28.1041666666667,0,0,-38.8035714285714,0,0,0,0,0,10.0059523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4.45982142857143,0,0,0,0,0,0,0,-57.734375,-9.75,0,134.174107142857,0,0,0,0,0,12.4441964285714,90.2901785714286,0,0,131.709821428571,0,0,0,0,0,-70.296875,0,49.4642857142857,0,0,-76.8125,0,0,0,0,0,0,0,0,0,0,0,0,-11.9308035714286,0,0,0,0,0,0,0,0,0,0,2.87276785714286,9.70982142857143,0,0,0,0,0
0,0,-7.87916666666667,0,0,0,0,-6.25,0,0,-93.3458333333333,0,0,0,0,0,0,0,0,0,-11.9791666666667,0,0,0,0,0,102.516666666667,0,0,-3.76666666666667,43.9125,0,0,0,0,0,0,0,0,-26.9125,0.00416666666666667,0,0,41.2291666666667,0,0,0,78.0666666666667,17.5916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.4598214285714,-50.5952380952381,0,-7.81547619047619,0,-47.5565476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.9598214285714,0,0,0,0,-37.4092261904762,0,0,129.473214285714,0,0,0,0,-69.9627976190476,0,21.2261904761905,0,0,19.2113095238095,-13.0877976190476,0,0,-43.6413690476191,-7.42708333333333,0,0,15.8928571428571,0,0,0,0,0,8.92857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,18.8125,0,35.775,0,0,102.825,0,0,-218.875,0,-25.4875,29.9625,-90.975,0,0,0,0,-35.3125,0,0,0,0,129.125,0,0,0,0,0,0,64.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9625,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-44.0583333333333,0,0,0,0,15.1125,0,0,8.74583333333333,0,0,0,0,0,0,0,0,0,-11.3833333333333,0,0,0,0,0,-3.76666666666667,0,0,35.7666666666667,26.45,0,0,0,0,0,0,0,0,-7.725,23.6583333333333,0,0,-19.8041666666667,0,0,0,-30.4041666666667,-22.3916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-51.575,0,0,0,0,19.0875,0,0,-93.31875,0,0,0,0,0,0,0,0,0,30.2875,0,0,0,0,0,43.9125,0,0,26.45,78.39375,0,0,0,0,0,0,0,0,-21.60625,45.09375,0,0,-12.3125,0,0,0,-14.34375,-40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-41.3861607142857,0,0,0,0,0,0,0,57.7310267857143,33.3616071428571,0,-67.2209821428571,0,0,0,0,0,25.0970982142857,-67.6808035714286,0,0,-70.296875,0,0,0,0,0,70.5256696428571,0,-37.0535714285714,0,0,65.2321428571429,0,0,0,0,0,0,0,0,0,0,0,0,1.44977678571429,0,0,0,0,0,0,0,0,0,0,8.88727678571429,-9.07366071428571,0,0,0,0,0
