Contest_Date,Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
2017-11-27,J.J. Barea,5.0,,PG/SG,4000,DAL,@SAS,1,107.0,27.0,17.0,97,101,-18%,8,9,10,20,22,22,24.2,23.8,17.2,30.4,21.5,20.2,5.0,22.1,37.8,9.4
2017-11-27,Tony Parker,,,PG,3900,SAS,DAL,1,,,,98,106,7%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18.5,14.8,3.8,14.1,12.0,3.1
2017-11-27,Seth Curry,,O,PG/SG,3900,DAL,@SAS,1,107.0,,,97,101,0%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Noah Vonleh,,,PF/C,3900,POR,@NYK,1,108.0,10.0,13.0,99,106,-11%,5,4,4,28,25,22,23.5,17.5,8.0,27.1,25.5,18.8,4.8,31.1,24.5,6.3
2017-11-27,Jae Crowder,,,SF/PF,3900,CLE,@PHI,2,109.0,15.0,10.0,105,102,-9%,8,8,8,27,27,27,19.2,16.9,9.5,24.2,26.0,19.6,5.0,20.6,5.5,1.4
2017-11-27,Andre Iguodala,,,SG/SF,3900,GSW,SAC,1,,11.0,12.0,97,108,1%,7,6,5,24,26,26,19.4,17.2,12.4,22.0,24.0,18.6,4.8,25.6,19.3,4.9
2017-11-27,Jarrett Jack,4.0,,PG,3900,NYK,POR,1,,15.0,10.0,99,100,-8%,9,8,6,33,30,27,25.8,19.7,11.7,27.6,30.5,22.3,5.7,20.6,12.8,3.3
2017-11-27,Tristan Thompson,,O,PF/C,3800,CLE,@PHI,2,109.0,9.0,10.0,105,102,8%,1,2,3,17,21,22,11.9,13.8,8.6,18.9,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Glenn Robinson III,,O,SG/SF,3800,IND,ORL,1,,,,103,107,11%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Richaun Holmes,,,PF/C,3800,PHI,CLE,1,109.0,,,101,109,3%,4,2,3,12,12,12,9.6,11.2,4.1,18.3,0.0,0.0,0.0,4.7,3.3,0.9
2017-11-27,Yogi Ferrell,,,PG/SG,3800,DAL,@SAS,1,107.0,15.0,10.0,97,101,-18%,5,6,8,23,27,29,14.3,17.9,10.5,25.2,25.0,13.9,3.7,20.8,4.3,1.1
2017-11-27,Markelle Fultz,,O,PG/SG,3800,PHI,CLE,1,109.0,,,101,109,11%,5,7,7,20,19,19,12.4,12.4,8.8,16.1,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-27,Omri Casspi,14.0,,SF/PF,3800,GSW,SAC,1,,16.0,19.0,97,108,1%,8,7,4,25,18,13,18.6,13.8,5.0,22.7,25.5,23.2,6.1,30.4,16.0,4.2
2017-11-27,Jeff Green,,,SF/PF,3700,CLE,@PHI,2,109.0,20.0,16.0,105,102,3%,7,7,7,16,18,20,15.8,17.3,7.4,27.1,15.5,12.4,3.4,27.4,34.0,9.2
2017-11-27,Stanley Johnson,,,SG/SF,3700,DET,@BOS,2,104.0,13.0,8.0,99,97,-12%,7,7,8,29,28,30,15.6,17.3,9.7,24.9,31.0,18.0,4.9,34.6,15.8,4.3
